name,rating,country,category,price,abv,age,brand,time_data
Eagle Rare 17 Year Old Single Barrel Kentucky Straight Bourbon,92,USA,Bourbon,57,45,17,Eagle,01-01-1995 00:00:00
Balblair Single Malt Scotch,92,Scotland,Highlands,109,43,17,Balblair,01-01-1995 00:00:00
Laphroaig Quarter Cask Single Malt Scotch,92,Scotland,Islay,47,48,,Laphroaig,01-01-1995 00:00:00
Michael Collins 10 Year Old Single Malt Irish Whiskey,93,Ireland,Single Malt,39,40,10,Michael Collins,01-01-1995 00:00:00
Glenfiddich 21 Year Old Single Malt Scotch,93,Scotland,Speyside,133,40,21,Glenfiddich,01-01-1995 00:00:00
Wild Turkey Russel's Reserve Bourbon,93,USA,Bourbon,35,45,10,Wild Turkey,01-01-1995 00:00:00
Four Roses Small Batch Kentucky Straight Bourbon Whiskey,93,USA,Bourbon,32,45,,Four Roses,01-01-1995 00:00:00
Tobermory 15 Year Old Single Malt Scotch,94,Scotland,Islands,108,46.3,15,Tobermory,01-01-1995 00:00:00
Glenmorangie 18 Year Old Single Malt Scotch,94,Scotland,Highlands,107,43,18,Glenmorangie,01-01-1995 00:00:00
Ancnoc 16 Year Old Single Malt Scotch,94,Scotland,Highlands,60,46,16,Ancnoc,01-01-1995 00:00:00
Pappy Van Winkle 20 year old Family Reserve Kentucky Straight Bourbon Whiskey,94,USA,Bourbon,93,45.2,20,Pappy Van Winkle,01-01-1995 00:00:00
Black Maple Hill 21 Cask 7 Bourbon,94,USA,Bourbon,95,40,21,Black Maple Hill,01-01-1995 00:00:00
Abraham Bowman Rye Whiskey,94,USA,Rye,70,68.2,9,Abraham Bowman,01-01-1995 00:00:00
Isle of Jura 21 Year Old Single Malt Scotch,94,Scotland,Islands,140,44,21,Isle of Jura,01-01-1995 00:00:00
Royal Salute 21 Year Old Scotch,94,Scotland,Speyside,175,40,21,Royal Salute,01-01-1995 00:00:00
Ardbeg Airigh Nam Beist Scotch,94,Scotland,Islay,115,46,16,Ardbeg,01-01-1995 00:00:00
Aberfeldy 21 Year Old Single Malt Scotch,94,Scotland,Highlands,150,40,21,Aberfeldy,01-01-1995 00:00:00
Talisker 1992 Single Malt Scotch,94,Scotland,Islands,68,45.82,12,Talisker,01-01-1995 00:00:00
Highland Park 18 Scotch,94,Scotland,Islands,80,43,18,Highland Park,01-01-1995 00:00:00
Bowmore 25 Year Old Scotch,94,Scotland,Islay,190,43,25,Bowmore,01-01-1995 00:00:00
Bowmore 12 Year Old Single Malt Scotch,94,Scotland,Islay,45,43,12,Bowmore,01-01-1995 00:00:00
Wild Turkey Kentucky Spirit Bourbon,94,USA,Bourbon,42,50.5,,Wild Turkey,01-01-1995 00:00:00
Old Pulteney 21 Year Old Single Malt Scotch Whisky,95,Scotland,Highlands,120,46,21,Old Pulteney,01-01-1995 00:00:00
Glen Grant 10 Year Old Single Malt Scotch,95,Scotland,Speyside,47,40,10,Glen Grant,01-01-1995 00:00:00
Glenmorangie 12 Year Old Single Malt Scotch,95,Scotland,Highlands,55,46,12,Glenmorangie,01-01-1995 00:00:00
Macallan 21 Year Old Fine Oak Scotch Whisky,96,Scotland,Speyside,220,43,21,Macallan,01-01-1995 00:00:00
George T. Stagg Kentucky Straight Bourbon Whiskey,96,USA,Bourbon,70,45,,George T. Stagg,01-01-1995 00:00:00
Parker's Heritage Collection 10 Year Old Wheated Bourbon,96,USA,Bourbon,80,63,10,Parker's Heritage,01-01-1995 00:00:00
Rowan's Creek Bourbon,96,USA,Bourbon,50,50.05,12,Rowan's Creek,01-01-1995 00:00:00
Woodford Reserve Master's Collection Bourbon,96,USA,Bourbon,80,46.2,,Woodford Reserve,01-01-1995 00:00:00
Lagavulin 21 Scotch,96,Scotland,Islay,300,56.5,21,Lagavulin,01-01-1995 00:00:00
Highland Park 30 Scotch,96,Scotland,Islands,365,48.1,30,Highland Park,01-01-1995 00:00:00
King Car Single Malt Whisky,96,Taiwan,Single Malt,84,46,,Kavalan,01-01-1995 00:00:00
Rye Dog Whiskey,96,USA,Rye,65,50,0,Delaware Phoenix,01-01-1995 00:00:00
Thirteenth Colony Southern Corn Whiskey,96,USA,Corn,30,47.5,,Thirteen Colony,01-01-1995 00:00:00
