name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
P & M Single Malt Whisky|81|France|Single Malt|60|42||P & M|1995-01-01  00:00:00|78|1240236f-4cd8-4b45-bc70-459a8df749a0|14.36|44.61|72.37
Prince Edward Canadian Rye|81|Canada|Rye|55|41||Price Edward|1995-01-01  00:00:00|79|3386864a-20bf-4d97-8873-e4b0299acb64|14.36|44.61|72.37
Jim Beam Red Stag Black Cherry Flavored Whiskey|81|USA|Flavored|18|40|4|Jim Beam|1995-01-01  00:00:00|80|874dbdb1-a2c8-4164-a99c-b233e44f5b63|14.36|44.61|72.37
Seagram's 7 Crown Dark Honey Whiskey|81|USA|Flavored|17|35.5|7|Seagram's|1995-01-01  00:00:00|81|08f27044-0069-4b8c-ad37-c539dc70c9b4|14.36|44.61|72.37
Tullamore Dew 10 Year Old Single Malt Irish Whiskey|81|Ireland|Single Malt|69|40|10|Tullamore|1995-01-01  00:00:00|82|e22a5aa3-6732-4729-b7ee-0e0d431e6c7a|14.36|44.61|72.37
Wolfhound Irish Whiskey|81|Ireland|Blended|25|40||Wolfhound|1995-01-01  00:00:00|83|f33f44ce-749d-4754-9452-f503beda0550|14.36|44.61|72.37
Wild Turkey 81 Bourbon Whiskey|81|USA|Bourbon|17|41|8|Wild Turkey|1995-01-01  00:00:00|84|9f821540-dd0f-4059-bd0e-1caf421a5a2d|14.36|44.61|72.37
The Irishman Single Malt Whiskey|81|Ireland|Single Malt|50|40|10|The Irishman|1995-01-01  00:00:00|85|936d4233-dd28-4263-8af0-a6eed2ec57e9|14.36|44.61|72.37
Collingwood Hand-Crafted Blended Canadian Whisky|81|Canada|Blended|28|40||Collingwood|1995-01-01  00:00:00|86|12628370-d84b-4687-846b-bc45b6ca5dca|14.36|44.61|72.37
Old Forester Straight Bourbon 86 Proof|81|USA|Bourbon|19|43|4|Old Forester|1995-01-01  00:00:00|87|417fda90-098c-4bf1-b143-3f8b4e357bc6|14.36|44.61|72.37
Buffalo Trace White Dog Mash #1 Corn Whiskey|82|USA|Corn|16|62.5||Buffalo Trace|1995-01-01  00:00:00|88|8512a92a-0b2f-475a-be7a-e4245da1ec5c|14.36|44.61|72.37
Kavalan Concert Master Single Malt Whiskey|82|Taiwan|Single Malt|50|40||Kavalan|1995-01-01  00:00:00|89|eca2b94c-f0de-4330-8a53-ed8c0a433c13|14.36|44.61|72.37
Kavalan Single Malt Whiskey|82|Taiwan|Single Malt|70|40||Kavalan|1995-01-01  00:00:00|90|d06657d2-1503-4fb0-916f-93bcdc00a9da|14.36|44.61|72.37
Old Parr Superior 18 Year Old Blended Scotch Whisky|82|Scotland|Blended|100|43|18|Old Parr|1995-01-01  00:00:00|91|78745b5c-758c-41f2-b914-8ada3f5cac77|14.36|44.61|72.37
Charter 101 Kentucky Straight Bourbon Whiskey|82|USA|Bourbon|19|50||Charter|1995-01-01  00:00:00|92|21ef6be7-396a-4006-884a-31acd57bfcc4|14.36|44.61|72.37
George Dickel Tennessee Whisky #8|82|USA|Corn|17|40||George Dickel|1995-01-01  00:00:00|93|e93c29c9-2438-449c-83c4-1ad01868277c|14.36|44.61|72.37
High West Rocky Mountain Rye 21 Year Old Whiskey|82|USA|Rye|133|53|21|High West|1995-01-01  00:00:00|94|9e36bc7b-1a06-474e-98cf-09e1bd8a41b8|14.36|44.61|72.37
Glenrothes 1985 Single Malt Scotch Whisky|82|Scotland|Speyside|100|43|19|Glenrothes|1995-01-01  00:00:00|95|0dabe6bb-61e0-4e1d-8f90-882191ffc0ed|14.36|44.61|72.37
1972 Ridgemont Reserve Kentucky Straight Bourbon Whiskey|83|USA|Bourbon|28|46||Ridgemont Reserve|1995-01-01  00:00:00|96|dd2985f8-3cbf-479c-b1c0-97cb5f0f4c91|14.36|44.61|72.37
Tyrconnell Single Malt Irish Whiskey|83|Ireland|Single Malt|33|||Tyrconnell|1995-01-01  00:00:00|97|a989ac25-edd2-438a-b7b4-c998d7ecb535|14.36|44.61|72.37
Dalmore 1263 King Alexander the Third Single Highland Malt Scotch|83|Scotland|Highlands|246|40||Dalmore|1995-01-01  00:00:00|98|da93f954-7850-48f3-a6a7-392555936bb0|14.36|44.61|72.37
Hudson Four Grain Bourbon|83|USA|Bourbon|42|46||Hudson|1995-01-01  00:00:00|99|0ffb0edf-2155-4100-bf96-d2c4b1aebe62|14.36|44.61|72.37
